TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9937  1.67091E+00  1.56513E+00  7.33046E-01  2.36728E+00  7.33687E-02  1.47170E-01 -7.53111E-03  1.33782E-01 -6.52687E-03 -1.08898E-02  2.21735E-01 -3.18212E-02  4.31334E-02  5.48155E-02  2.11134E-01   -2295.42214365326
        -9936  1.55996E+00  1.51027E+00  7.60938E-01  2.44270E+00  5.80804E-02  1.39223E-01 -9.30878E-03  1.36603E-01 -5.21425E-03  7.09837E-03  1.64309E-01 -2.79267E-02  3.36173E-02  5.20031E-02  2.07348E-01   -2326.78415297299
        -9935  1.66296E+00  1.44103E+00  7.60465E-01  2.34753E+00  6.34439E-02  1.65900E-01 -2.83982E-02  1.63486E-01  3.16780E-02 -1.19553E-02  1.83003E-01 -5.88459E-03  5.04382E-02  1.92089E-02  1.80800E-01   -2286.93333925944
        -9934  1.60467E+00  1.44027E+00  7.04615E-01  2.37121E+00  6.97841E-02  1.39070E-01 -1.69141E-02  1.45983E-01  2.05127E-02 -5.04586E-02  1.67993E-01  3.21403E-03  3.86651E-02  4.78005E-02  1.81163E-01   -2266.52025074789
        -9933  1.59526E+00  1.51893E+00  7.10438E-01  2.41078E+00  5.80142E-02  1.35931E-01 -2.18611E-02  1.50254E-01  3.92488E-02 -3.02306E-02  1.61650E-01 -2.67016E-02  7.28236E-02  8.86551E-03  2.45980E-01   -2291.95918965310
        -9932  1.63732E+00  1.51104E+00  6.73759E-01  2.33137E+00  6.38993E-02  1.63365E-01  2.36617E-02  1.38692E-01  3.94134E-02 -1.72555E-02  1.20620E-01  1.34841E-02  5.90500E-02 -8.28242E-03  1.36627E-01   -2332.60188692041
        -9931  1.54167E+00  1.51661E+00  6.89654E-01  2.36562E+00  5.68023E-02  1.70795E-01  1.96663E-03  1.29203E-01  6.12129E-02 -1.08964E-02  1.41075E-01  2.20810E-02  4.94016E-02 -1.29509E-02  1.32169E-01   -2325.73653076969
        -9930  1.61731E+00  1.46618E+00  7.06284E-01  2.32126E+00  5.62207E-02  1.42040E-01  1.48857E-02  1.07268E-01  5.25224E-02  9.06385E-03  1.36848E-01  6.54320E-03  1.05567E-02  1.05241E-02  1.20594E-01   -2300.82350039795
        -9929  1.67870E+00  1.47603E+00  6.97654E-01  2.28410E+00  6.13697E-02  1.73793E-01  1.54374E-02  1.43853E-01  1.78710E-02  1.64618E-02  1.24031E-01 -7.23039E-03  4.04396E-02  8.79329E-03  1.34629E-01   -2297.24298743534
        -9928  1.60228E+00  1.55459E+00  7.23033E-01  2.39440E+00  5.57848E-02  1.77733E-01  1.64781E-02  1.35457E-01  9.70213E-03 -1.18810E-02  1.67765E-01  2.51493E-02  1.86872E-02  1.28078E-02  1.77367E-01   -2351.49142465377
