TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9950  3.28523E+00  3.25457E+00 -6.02931E-01 -2.07271E-01  7.64849E-01  1.15610E+00  3.28839E-01  1.90601E-01  7.00890E-01  2.31126E+00  1.00334E-01  1.00000E+00  1.09240E-02 -4.35069E-05  6.98326E-03  1.22286E-03 -8.70600E-04  5.18470E-03 -1.17256E-03  2.23358E-04 -1.61882E-03  8.83132E-03   -19615.3025518360
        -9949  3.31069E+00  3.25374E+00 -6.11841E-01 -2.09178E-01  7.37329E-01  1.19332E+00  3.33382E-01  1.79304E-01  6.98677E-01  2.31234E+00  1.00298E-01  1.00000E+00  1.01764E-02  1.29840E-03  7.28995E-03  6.00026E-04 -1.52489E-03  4.79189E-03 -1.47676E-03  6.16471E-04 -2.02055E-03  7.89116E-03   -19527.5109922856
        -9948  3.32015E+00  3.27538E+00 -6.20781E-01 -2.12551E-01  6.76237E-01  1.18230E+00  3.51862E-01  1.80041E-01  7.03412E-01  2.31211E+00  1.00367E-01  1.00000E+00  1.12708E-02  1.36091E-03  7.15763E-03  7.30576E-04 -2.68692E-03  6.49448E-03 -1.73574E-03  1.59889E-03 -2.10008E-03  8.83415E-03   -19372.7023746447
        -9947  3.31206E+00  3.29984E+00 -6.13178E-01 -2.20896E-01  7.00045E-01  1.17623E+00  3.45469E-01  1.84752E-01  6.95783E-01  2.30634E+00  1.00209E-01  1.00000E+00  9.56680E-03  1.49187E-03  7.53109E-03 -1.31920E-04 -2.83425E-03  6.57707E-03 -3.51217E-04  6.49275E-04 -1.52695E-03  8.12805E-03   -19563.2806492587
        -9946  3.31531E+00  3.29288E+00 -6.16263E-01 -2.17464E-01  7.25252E-01  1.20803E+00  3.41786E-01  1.74422E-01  7.01854E-01  2.30002E+00  1.00350E-01  1.00000E+00  1.06784E-02  2.82238E-04  8.19774E-03  1.00755E-03 -2.57805E-03  5.58351E-03 -3.90975E-04  4.08056E-04 -1.67210E-03  7.50669E-03   -19528.5174438117
        -9945  3.28699E+00  3.30230E+00 -6.08172E-01 -2.22766E-01  7.70323E-01  1.21201E+00  3.23689E-01  1.67800E-01  7.03773E-01  2.29849E+00  9.95835E-02  1.00000E+00  1.11620E-02  1.58961E-03  7.19190E-03  5.70903E-04 -2.18371E-03  4.51572E-03  1.75514E-05  1.01842E-03 -1.72308E-03  7.51210E-03   -19599.7306204524
        -9944  3.33041E+00  3.25160E+00 -6.20773E-01 -2.03262E-01  7.32309E-01  1.15889E+00  3.33504E-01  1.87221E-01  6.99108E-01  2.30136E+00  9.93509E-02  1.00000E+00  1.01258E-02  1.06412E-03  8.06131E-03  1.40110E-04 -1.84105E-03  4.66497E-03 -3.38926E-04  7.98921E-04 -1.72812E-03  7.70403E-03   -19534.6290356893
        -9943  3.35221E+00  3.24526E+00 -6.26884E-01 -2.07348E-01  7.28577E-01  1.17295E+00  3.35200E-01  1.79189E-01  6.99101E-01  2.30618E+00  1.00980E-01  1.00000E+00  1.03246E-02 -3.62376E-04  8.30664E-03  1.12736E-03 -1.78640E-03  5.12139E-03 -1.71679E-03  1.12772E-03 -2.34412E-03  7.99416E-03   -19532.1513303287
        -9942  3.28936E+00  3.25243E+00 -6.07186E-01 -2.06347E-01  6.78346E-01  1.17880E+00  3.52460E-01  1.83356E-01  7.00863E-01  2.30503E+00  1.01482E-01  1.00000E+00  1.03500E-02  3.27046E-04  7.55887E-03  1.22727E-03 -1.45887E-03  4.78120E-03 -3.06820E-04  6.97147E-04 -1.70181E-03  6.65278E-03   -19422.9404940298
        -9941  3.29139E+00  3.24379E+00 -6.07963E-01 -2.04295E-01  7.56867E-01  1.18972E+00  3.31446E-01  1.77324E-01  6.96977E-01  2.29618E+00  1.05395E-01  1.00000E+00  1.07651E-02 -1.77242E-05  8.19179E-03  9.23357E-04 -1.85133E-03  4.99449E-03 -1.37365E-04  1.84859E-04 -1.63945E-03  7.14835E-03   -19469.8636847059
        -9940  3.28092E+00  3.23799E+00 -6.09861E-01 -2.06422E-01  7.72930E-01  1.17181E+00  3.30522E-01  1.84051E-01  6.92863E-01  2.30372E+00  1.06053E-01  1.00000E+00  1.11874E-02 -4.13976E-04  7.27583E-03  1.73195E-03 -1.22779E-03  4.97152E-03 -9.72318E-04 -1.04969E-03 -1.18783E-03  6.82267E-03   -19416.2947703233
        -9939  3.28400E+00  3.20388E+00 -6.05193E-01 -1.94137E-01  7.39900E-01  1.23264E+00  3.36604E-01  1.65890E-01  6.93607E-01  2.29818E+00  9.99852E-02  1.00000E+00  1.00139E-02 -6.52433E-04  6.96233E-03  9.87812E-04 -1.91608E-03  5.36005E-03 -1.19659E-03 -9.08712E-04 -1.05704E-03  7.67093E-03   -19426.5687611780
        -9938  3.33847E+00  3.28732E+00 -6.23601E-01 -2.20390E-01  7.26715E-01  1.18387E+00  3.39177E-01  1.82406E-01  6.96216E-01  2.30411E+00  1.04792E-01  1.00000E+00  1.00687E-02 -7.25621E-05  6.95494E-03  8.97709E-04 -1.95053E-03  4.47492E-03 -1.24014E-03 -6.20713E-04 -6.26751E-04  8.16996E-03   -19403.0130834832
